FREQ;UNIT;INDIC_PS;GEO\TIME_PERIOD,2012 ,2013 ,2014 ,2015 ,2016 ,2017
A;EUR;PRI901;AT,0.62 ,0.62 ,0.68 ,0.68 ,0.68 ,0.68
A;EUR;PRI901;BE,0.75 ,0.77 ,0.77 ,0.77 ,0.79 ,0.79
A;EUR;PRI901;BG,0.43 ,0.43 ,0.43 ,0.43 ,0.43 ,0.43
A;EUR;PRI901;CH,0.77 ,0.75 ,0.77 ,0.87 ,: ,:
A;EUR;PRI901;CY,0.34 ,0.34 ,0.41 ,0.41 ,0.41 ,0.41
A;EUR;PRI901;CZ,: ,0.38 ,0.47 ,0.48 ,0.59 ,0.61
A;EUR;PRI901;DE,0.55 ,0.58 ,0.60 ,0.62 ,0.70 ,0.70
A;EUR;PRI901;DK,1.07 ,1.07 ,1.21 ,1.34 ,1.07 ,1.08
A;EUR;PRI901;EE,0.45 ,0.45 ,0.55 ,0.55 ,0.65 ,0.65
A;EUR;PRI901;EL,0.62 ,0.62 ,0.72 ,0.72 ,0.72 ,0.72
A;EUR;PRI901;ES,: ,0.37 ,0.38 ,0.42 ,0.45 ,0.50
A;EUR;PRI901;FI,0.75 ,0.85 ,1.00 ,1.10 ,1.20 ,1.00
A;EUR;PRI901;FR,0.60 ,0.63 ,0.66 ,0.76 ,0.80 ,0.85
A;EUR;PRI901;HR,0.41 ,0.41 ,0.41 ,0.41 ,0.41 ,0.42
A;EUR;PRI901;HU,0.45 ,0.47 ,0.47 ,0.47 ,0.47 ,0.50
A;EUR;PRI901;IE,0.55 ,0.60 ,0.60 ,0.70 ,0.70 ,1.00
A;EUR;PRI901;IS,0.75 ,0.74 ,0.84 ,1.05 ,1.31 ,:
A;EUR;PRI901;IT,0.70 ,0.70 ,0.80 ,2.80 b,2.80 ,2.80
A;EUR;PRI901;LT,0.45 ,0.45 ,0.45 ,0.45 ,0.45 ,0.45
A;EUR;PRI901;LU,0.60 ,0.60 ,0.60 ,0.70 ,0.70 ,0.70
A;EUR;PRI901;LV,0.72 ,0.81 ,0.60 ,0.60 ,0.57 ,0.57
A;EUR;PRI901;MK,0.26 ,0.26 ,0.29 ,0.29 ,0.29 ,0.29
A;EUR;PRI901;MT,0.20 ,0.26 ,0.26 ,0.26 ,0.26 ,0.26
A;EUR;PRI901;NL,0.50 ,0.54 ,0.64 ,0.69 ,0.73 ,0.80
A;EUR;PRI901;NO,: ,: ,: ,1.17 ,1.18 ,1.39
A;EUR;PRI901;PL,0.47 ,0.56 ,0.56 ,0.56 ,0.57 ,0.75
A;EUR;PRI901;PT,0.47 ,0.50 ,0.50 ,0.55 ,0.58 ,0.63
A;EUR;PRI901;RO,0.36 ,0.36 ,0.36 ,0.36 ,0.31 ,0.31
A;EUR;PRI901;RS,0.19 ,0.19 ,0.20 ,0.19 ,0.19 ,0.19
A;EUR;PRI901;SE,0.55 ,0.55 ,0.62 ,0.60 ,0.69 ,0.73
A;EUR;PRI901;SI,0.29 ,0.29 ,0.34 ,0.37 ,0.40 ,0.40
A;EUR;PRI901;SK,0.60 ,0.65 ,0.65 ,0.65 ,0.70 ,0.70
A;EUR;PRI901;UK,0.74 ,0.71 ,0.77 ,0.87 ,0.78 ,0.74
A;EUR;PRI902;AT,0.70 ,0.70 ,0.80 ,0.80 ,0.80 ,0.80
A;EUR;PRI902;BE,1.09 ,: ,1.17 ,1.20 ,1.23 ,1.23
A;EUR;PRI902;BG,0.92 ,0.92 ,0.92 ,0.92 ,0.92 ,0.92
A;EUR;PRI902;CH,1.08 ,1.06 ,1.07 ,1.22 ,: ,:
A;EUR;PRI902;CY,0.51 ,0.51 ,0.64 ,0.64 ,0.64 ,0.64
A;EUR;PRI902;CZ,: ,0.77 ,0.91 ,0.92 ,1.00 ,1.22
A;EUR;PRI902;DE,0.75 ,0.75 ,0.75 ,0.80 ,0.90 ,0.90
A;EUR;PRI902;DK,1.61 ,1.68 ,1.88 ,1.94 ,3.36 ,3.36
A;EUR;PRI902;EE,1.00 ,1.00 ,1.20 ,1.20 ,1.40 ,1.40
A;EUR;PRI902;EL,0.78 ,0.78 ,0.90 ,0.90 ,0.90 ,0.90
A;EUR;PRI902;ES,: ,0.75 ,0.76 ,0.90 ,1.15 ,1.25
A;EUR;PRI902;FI,0.75 ,0.85 ,1.00 ,1.10 ,1.30 ,1.00
A;EUR;PRI902;FR,0.77 ,0.80 ,0.83 ,0.95 ,1.00 ,1.10
A;EUR;PRI902;HR,0.94 ,1.00 ,1.00 ,1.00 ,1.01 ,1.02
A;EUR;PRI902;HU,0.90 ,0.88 ,0.96 ,1.05 ,1.09 ,1.21
A;EUR;PRI902;IE,0.82 ,0.90 ,0.90 ,1.05 ,1.05 ,1.35
A;EUR;PRI902;IS,1.09 ,1.08 ,1.13 ,1.23 ,1.35 ,:
A;EUR;PRI902;IT,0.85 ,0.85 ,0.95 ,3.50 b,3.50 ,3.50
A;EUR;PRI902;LT,0.71 ,: ,0.71 ,0.81 ,0.81 ,:
A;EUR;PRI902;LU,0.85 ,0.85 ,0.85 ,0.95 ,0.95 ,0.95
A;EUR;PRI902;LV,1.12 ,1.11 ,0.80 ,0.80 ,0.78 ,0.78
A;EUR;PRI902;MK,0.59 ,0.58 ,0.58 ,0.58 ,0.58 ,0.58
A;EUR;PRI902;MT,: ,0.40 ,0.59 ,0.59 ,0.59 ,0.59
A;EUR;PRI902;NL,0.85 ,0.90 ,1.05 ,1.15 ,1.25 ,1.40
A;EUR;PRI902;NO,: ,: ,: ,1.57 ,1.83 ,1.82
A;EUR;PRI902;PL,0.72 ,1.24 ,1.24 ,1.24 ,1.37 ,1.41
A;EUR;PRI902;PT,0.68 ,0.70 ,0.72 ,0.72 ,0.75 ,0.80
A;EUR;PRI902;RO,0.47 ,0.48 ,0.47 ,0.47 ,0.89 ,0.88
A;EUR;PRI902;RS,0.41 ,0.41 ,0.60 ,0.58 ,0.57 ,0.58
A;EUR;PRI902;SE,1.10 ,1.11 ,1.23 ,1.20 ,1.37 ,2.18
A;EUR;PRI902;SI,0.60 ,0.60 ,0.60 ,0.60 ,1.00 ,1.00
A;EUR;PRI902;SK,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.10
A;EUR;PRI902;UK,1.07 ,1.04 ,1.20 ,1.38 ,1.28 ,1.34
A;EUR;PRI903;AT,1.70 ,1.70 ,1.70 ,1.70 ,1.70 ,1.70
A;EUR;PRI903;BE,1.29 ,1.34 ,1.39 ,1.42 ,1.45 ,1.45
A;EUR;PRI903;BG,1.28 ,1.28 ,1.28 ,1.28 ,1.28 ,1.28
A;EUR;PRI903;CH,1.46 ,1.43 ,1.45 ,1.65 ,: ,:
A;EUR;PRI903;CY,0.68 ,0.68 ,0.75 ,0.75 ,0.75 ,0.75
A;EUR;PRI903;CZ,: ,0.81 ,1.09 ,1.10 ,1.18 ,1.41
A;EUR;PRI903;DE,0.75 ,0.75 ,0.75 ,0.80 ,0.90 ,0.90
A;EUR;PRI903;DK,1.88 ,1.94 ,2.15 ,2.21 ,3.36 ,3.36
A;EUR;PRI903;EE,1.10 ,1.10 ,1.30 ,1.30 ,1.50 ,1.50
A;EUR;PRI903;EL,0.78 ,0.78 ,0.90 ,0.90 ,0.90 ,0.90
A;EUR;PRI903;ES,: ,0.90 ,0.92 ,1.00 ,1.30 ,1.35
A;EUR;PRI903;FI,0.75 ,0.85 ,1.00 ,1.10 ,1.30 ,1.00
A;EUR;PRI903;FR,0.89 ,0.95 ,0.98 ,1.20 ,1.25 ,1.30
A;EUR;PRI903;HR,0.94 ,1.00 ,1.00 ,1.00 ,1.01 ,1.02
A;EUR;PRI903;HU,1.04 ,1.01 ,1.10 ,1.21 ,1.40 ,:
A;EUR;PRI903;IE,0.82 ,0.90 ,0.90 ,1.05 ,1.05 ,1.35
A;EUR;PRI903;IS,1.43 ,1.42 ,1.49 ,1.64 ,1.80 ,:
A;EUR;PRI903;IT,: ,: ,: ,: z,: z,:
A;EUR;PRI903;LT,0.84 ,0.84 ,0.84 ,0.84 ,0.84 ,0.84
A;EUR;PRI903;LU,1.10 ,1.10 ,1.10 ,1.30 ,1.30 ,1.30
A;EUR;PRI903;LV,1.22 ,1.21 ,0.90 ,0.90 ,0.90 ,0.90
A;EUR;PRI903;MK,0.59 ,0.58 ,0.58 ,0.58 ,0.58 ,0.58
A;EUR;PRI903;MT,: ,: ,: ,: ,: ,:
A;EUR;PRI903;NL,0.95 ,0.95 ,1.05 ,1.15 ,1.25 ,1.40
A;EUR;PRI903;NO,: ,: ,: ,1.57 ,2.26 ,2.25
A;EUR;PRI903;PL,0.76 ,1.24 ,1.24 ,1.24 ,1.37 ,1.41
A;EUR;PRI903;PT,0.80 ,0.80 ,0.80 ,0.80 ,0.80 ,0.85
A;EUR;PRI903;RO,0.70 ,0.70 ,0.70 ,0.70 ,0.89 ,0.88
A;EUR;PRI903;RS,0.41 ,0.41 ,: z,0.64 ,0.63 ,0.63
A;EUR;PRI903;SE,1.10 ,1.11 ,1.23 ,1.20 ,1.37 ,2.18
A;EUR;PRI903;SI,0.60 ,0.60 ,0.60 ,1.00 ,1.00 ,1.00
A;EUR;PRI903;SK,1.20 ,1.20 ,1.20 ,1.20 ,1.20 ,1.30
A;EUR;PRI903;UK,1.58 ,1.04 ,1.59 ,1.83 ,1.62 ,1.60
A;EUR;PRI904;AT,4.30 ,4.45 ,4.44 ,4.44 ,4.44 ,4.44
A;EUR;PRI904;BE,6.20 ,6.40 ,6.50 ,6.50 ,6.50 ,6.50
A;EUR;PRI904;BG,1.33 ,1.33 ,1.33 ,1.33 ,1.33 ,1.33
A;EUR;PRI904;CH,6.91 ,6.77 ,6.86 ,7.80 ,: ,:
A;EUR;PRI904;CY,1.71 ,1.71 ,4.50 ,4.50 ,4.50 ,4.50
A;EUR;PRI904;CZ,: ,2.00 ,1.89 ,2.71 ,2.74 ,2.81
A;EUR;PRI904;DE,4.10 ,4.10 ,4.40 ,4.40 ,4.50 ,4.50
A;EUR;PRI904;DK,9.00 ,9.39 ,8.05 ,8.04 ,12.09 ,13.44
A;EUR;PRI904;EE,3.26 ,3.26 ,3.92 ,3.92 ,4.08 ,4.08
A;EUR;PRI904;EL,4.10 ,4.10 ,1.50 ,1.50 ,1.50 ,1.50
A;EUR;PRI904;ES,: ,7.30 ,7.80 ,8.58 ,8.90 ,10.50
A;EUR;PRI904;FI,7.20 ,7.40 ,7.60 ,7.90 ,8.10 ,: z
A;EUR;PRI904;FR,8.20 ,8.50 ,8.80 ,8.95 ,8.50 ,8.50
A;EUR;PRI904;HR,2.66 ,2.64 ,2.62 ,2.63 ,2.65 ,2.68
